,0
2810,reality
2811,tv
2812,star
2815,political
2816,figure.
2818,origin
2819,story
2822,unwritten.
2823,trump
2825,spent
2826,years
2827,peddling
2829,racist
2830,conspiracy
2831,aimed
2833,undermining
2835,first
2836,african
2837,american
2838,president.
2841,just
2842,take
2844,back.
2850,said:
2852,don’t
2853,just
2854,get
2856,say
2857,someone
2858,else
2861,worst
2862,things
2863,you’ve
2864,done.
2866,doesn’t
2867,work.
2869,one
2870,buys
2871,it.
2872,"again,"
2873,trump
2874,turns
2876,faults
2878,others.
2879,psychologists
2880,call
2882,"""projecting."""
2883,kids
2884,call
2886,"""i'm"
2887,"rubber,"
2889,"glue."""
2890,https://t.co/lkddd0wwsn
2892,trump
2893,tries
2895,deflect
2896,blame
2898,denying
2900,@potus
2902,born
2904,"america,"
2907,lying.
2908,https://t.co/lje3lkrzqy
2909,https://t.co/yq9iwnvxuc
2910,leading
2912,birther
2913,movement
2915,deplorable.
2916,attempting
2918,say
2920,"""did"
2922,great
2923,"service"""
2926,president
2928,trump
2929,attacked
2931,asinine.
2932,expressing
2933,zero
2934,regret
2936,years
2938,pushing
2940,racist
2941,conspiracy
2942,"theory,"
2943,trump
2945,appointed
2947,judge
2948,&amp;
2949,jury
2951,@potus's
2952,citizenship.
2954,trump
2955,just
2959,disgrace.
2960,rt
2961,@timkaine:
2964,5
2965,"years,"
2967,trump's
2968,still
2969,pushing
2971,notion
2973,@potus
2975,american.
2976,https://t.co/tapnqsocvn
2977,rt
2978,@sensanders:
2980,dad
2982,born
2984,poland.
2987,know
2989,many
2990,people
2991,ever
2992,asked
2994,whether
2999,born
3001,america?
3002,nobody
3003,ever
3004,aske…
3005,let’s
3006,build
3008,future
3010,love
3011,trumps
3012,hate.
3013,https://t.co/ttgeqxnqym
3014,“let’s
3015,reject
3017,"cynicism,"
3019,"bullying,"
3022,divisive
3023,rhetoric
3026,opponent
3028,using
3030,try
3032,make
3033,us
3035,afraid
3038,other.”
3039,donald
3040,trump
3041,looks
3043,women
3045,decides
3048,looks
3049,rate
3052,scale
3054,one
3056,10.
3057,"""he"
3058,looks
3061,gold
3062,star
3063,family
3065,sees
3068,"muslims,"
3070,patriotic
3071,americans.”
3072,—hillary
3074,trump
3075,"""donald"
3076,trump
3077,looks
3080,distinguished
3081,judge
3082,born
3084,"indiana,"
3087,sees
3089,"mexican,"
3092,american.”
3093,—hillary
3094,donald
3095,trump
3097,unfit
3100,"president.
we"
3101,just
3102,can’t
3103,accept
3104,"this.
we’ve"
3105,got
3107,stand
3110,"this.
if"
3112,"don’t,"
3114,won’t
3115,stop.
3116,barack
3117,obama
3119,born
3121,"america,"
3122,plain
3124,"simple.

donald"
3125,trump
3126,owes
3130,american
3131,people
3133,apology.
3134,just
3135,"yesterday,"
3136,trump
3138,refused
3140,say
3144,words
3147,president
3149,born
3152,united
3153,states.
3154,"""we"
3155,know
3157,donald
3158,is.
3160,five
3161,"years,"
3164,led
3166,birther
3167,movement
3169,de-legitimize
3171,first
3172,black
3173,president.”
3174,—hillary
3176,next
3177,53
3178,days
3179,will
3180,shape
3182,next
3183,50
3184,"years.

the"
3185,future
3188,children
3190,grandchildren
3191,hangs
3194,balance.
3195,https://t.co/ttgeqxnqym
3196,"""we’ll"
3197,remember
3199,pain
3202,mothers
3205,movement
3207,fight
3210,criminal
3211,justice
3212,system
3214,actually
3215,delivers
3216,justice.”
3217,—hillary
3218,“the
3219,american
3220,people
3221,deserve
3222,something
3224,vote
3225,"for,"
3227,just
3228,against.”
3229,—hillary
3230,https://t.co/jd5lwh595s
3231,"""you"
3233,just
3234,deserve
3236,seat
3239,table.
3241,past
3242,time
3246,fair
3247,chance
3249,run
3251,"meeting."""
3252,—hillary
3255,black
3256,women’s
3257,agenda
3258,"""to"
3259,drive
3260,real
3261,"progress,"
3265,change
3267,hearts
3269,laws.
3271,need
3273,understanding
3275,action.”
